timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-27T02:27:13.982Z","0","43","51","108110","151671","4202","12735","12586","12377","6254","2560",""
"2026-07-27T02:27:15.224Z","0","29","53","137252","67094","3828","9996","4323","5786","2967","2213",""
"2026-07-27T02:27:16.011Z","0","35","56","235823","123597","42537","10829","5128","12695","4392","2869",""
"2026-07-27T02:27:16.898Z","0","43","40","125329","66106","5287","9565","10255","12292","5291","2461",""
"2026-07-27T02:27:17.960Z","0","48","63","87831","83110","54013","22379","5088","16518","15155","8909",""
"2026-07-27T02:27:18.950Z","0","50","60","145191","94053","4580","10727","6780","9781","3375","4059",""
"2026-07-27T02:27:19.856Z","0","51","60","616900","304255","72298","79370","87911","42144","58219","17308",""
"2026-07-27T02:27:20.996Z","0","50","80","101055","25265","38727","9514","15042","9132","14789","2001",""
"2026-07-27T02:27:22.040Z","0","51","66","28208","52967","11766","10327","13283","11470","4407","2369",""
"2026-07-27T02:27:22.976Z","0","47","84","639900","36685","28143","7272","15153","3506","4352","3701",""
"2026-07-27T02:27:24.152Z","0","38","84","65426","91643","9042","26973","9167","5193","5020","1968",""
"2026-07-27T02:27:25.448Z","0","37","77","162138","44009","20356","5804","5756","7935","2291","1369",""
"2026-07-27T02:27:26.234Z","0","37","75","236478","79487","6734","17763","3321","14773","3659","5099",""
"2026-07-27T02:27:27.020Z","0","38","53","1028293","85939","3373","7838","6284","5602","1624","1851",""
"2026-07-27T02:27:27.830Z","0","43","48","1939525","126355","22370","10670","13551","10415","1596","1392",""
"2026-07-27T02:27:28.880Z","0","47","40","307249","34685","6750","3960","12072","7672","4085","1754",""
"2026-07-27T02:27:29.942Z","0","38","38","178998","83739","11364","11467","14414","6355","3278","1469",""
"2026-07-27T02:27:31.010Z","0","40","57","46599","33835","17907","7023","3817","4042","4146","846",""
"2026-07-27T02:27:31.850Z","0","41","74","82168","30533","25750","5831","6626","5666","2737","1641",""
"2026-07-27T02:27:32.978Z","0","30","88","82979","47566","19034","28457","9128","4959","2710","1827",""
"2026-07-27T02:27:33.932Z","0","37","78","20042","51342","1457","4502","3279","5238","7509","1892",""
"2026-07-27T02:27:35.036Z","0","37","63","578326","522299","57526","42442","51384","49110","32296","12336",""
"2026-07-27T02:27:36.236Z","26","37","63","249505","11692","22643","5909","2653","3927","2595","4016",""
"2026-07-27T02:27:37.022Z","0","50","40","499852","36600","5108","1667","6426","13454","10621","4790",""
"2026-07-27T02:27:38.240Z","0","57","26","96501","77128","16138","7226","9333","14320","6665","3346",""
"2026-07-27T02:27:39.200Z","0","57","53","1417860","67423","60036","26190","16728","14843","24772","28772",""
"2026-07-27T02:27:40.094Z","0","63","56","308673","81034","12066","15353","21931","12654","6711","1410",""
"2026-07-27T02:27:40.880Z","0","60","78","97198","25313","19614","9995","4681","13336","6976","2000",""
"2026-07-27T02:27:41.906Z","0","57","90","21841","22468","12429","7108","3141","5085","3770","1319",""
"2026-07-27T02:27:42.998Z","0","64","80","664684","34326","8719","11266","14042","10006","7632","2427",""
"2026-07-27T02:27:44.168Z","0","57","80","63769","42780","6584","4272","2172","3526","2759","509",""
"2026-07-27T02:27:45.410Z","0","51","69","212689","83957","22722","16454","22588","15165","7805","2789",""
"2026-07-27T02:27:46.196Z","0","56","47","2470109","67694","2559","6647","16483","14937","9853","5062",""
"2026-07-27T02:27:46.982Z","0","48","40","799196","114128","13844","12832","14469","11626","5648","1360",""
"2026-07-27T02:27:47.966Z","0","63","43","304395","38065","4566","14204","9552","15842","4714","5803",""
"2026-07-27T02:27:48.861Z","0","63","44","520656","470741","164409","65349","13987","79235","7178","5382",""
"2026-07-27T02:27:49.868Z","0","74","69","50320","5636","7916","8810","8800","11944","5559","1215",""
"2026-07-27T02:27:50.774Z","0","80","70","297378","42432","11475","2660","14604","8017","6075","2376",""
"2026-07-27T02:27:51.788Z","0","64","57","542366","116436","4476","10676","7482","10143","2846","1332",""
"2026-07-27T02:27:52.946Z","0","51","56","121146","130481","31798","19539","10923","4659","4609","2470",""
"2026-07-27T02:27:53.822Z","0","35","57","147828","9390","5344","5178","2642","1933","867","1564",""
"2026-07-27T02:27:54.842Z","0","34","70","1280435","100107","31459","66991","30778","24041","21736","15981",""
"2026-07-27T02:27:56.334Z","0","34","81","31849","50384","10218","5779","10097","5395","2323","1341",""
"2026-07-27T02:27:58.134Z","0","43","67","106351","103014","9993","4693","12913","7766","3714","2451",""
"2026-07-27T02:27:59.430Z","0","44","56","80062","39141","10459","6466","11825","6882","3048","1052",""
"2026-07-27T02:27:59.982Z","0","41","63","257655","26931","21941","28254","7758","7116","3602","3251",""
"2026-07-27T02:28:00.540Z","0","47","56","185370","79059","3765","9009","7705","10925","5610","4415",""
"2026-07-27T02:28:01.326Z","0","51","63","139076","97770","7549","15246","6851","14870","6174","2357",""
"2026-07-27T02:28:02.226Z","0","47","54","196680","14448","914","2093","3496","1247","2406","1010",""
"2026-07-27T02:28:03.012Z","0","50","38","443346","75271","10232","19496","12096","13434","5864","2433",""
"2026-07-27T02:28:03.858Z","0","44","47","98359","114799","23349","16515","14932","11136","6144","3879",""
"2026-07-27T02:28:04.920Z","0","41","51","510442","106032","15048","24035","12671","11644","5890","3028",""
"2026-07-27T02:28:05.850Z","0","35","56","351847","427002","63385","43158","41185","22416","20150","26758",""
"2026-07-27T02:28:07.080Z","0","29","66","228265","5448","1108","5521","3149","851","1016","920",""
"2026-07-27T02:28:08.400Z","51","29","66","1605462","1009560","153232","224603","178329","247244","111974","30747",""
"2026-07-27T02:28:09.468Z","0","24","57","581080","213878","24652","7789","5619","11188","8193","1068",""
"2026-07-27T02:28:10.423Z","0","20","64","86697","99112","33962","21870","7093","8158","3251","3695",""
"2026-07-27T02:28:11.208Z","0","34","70","292119","46914","11498","17107","9732","11717","2855","1202",""
"2026-07-27T02:28:11.994Z","0","38","63","37364","49335","19121","3566","4710","7992","2074","1620",""
"2026-07-27T02:28:12.774Z","51","38","63","1548325","358348","36931","46571","148663","220210","129737","41104",""
