timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-27T02:06:23.005Z","0","56","67","4220","2448","2959","5769","6566","7064","6172","1835",""
"2026-07-27T02:06:24.097Z","0","57","77","2984","4087","9580","5506","4597","3244","2484","1520",""
"2026-07-27T02:06:24.979Z","0","56","87","282216","41875","38916","535","1395","4187","9079","1547",""
"2026-07-27T02:06:26.041Z","0","53","90","53326","4940","3789","2628","2560","8705","9703","7981",""
"2026-07-27T02:06:27.085Z","0","54","88","3726","3197","3875","3832","4099","10027","12991","1897",""
"2026-07-27T02:06:28.093Z","0","47","66","834499","708266","55375","47477","48385","45212","33243","14211",""
"2026-07-27T02:06:29.257Z","0","44","57","279133","123227","50218","7168","20132","7664","14165","9903",""
"2026-07-27T02:06:30.067Z","0","16","64","258713","58360","13082","35824","3632","2436","5561","1572",""
"2026-07-27T02:06:31.183Z","0","1","57","563891","62358","12177","8109","15440","8948","3709","4875",""
"2026-07-27T02:06:31.993Z","0","10","74","1611593","66834","45439","14876","6296","32165","22232","9715",""
"2026-07-27T02:06:33.139Z","0","17","77","252653","88163","42771","18992","7083","15394","7313","4184",""
"2026-07-27T02:06:34.063Z","0","20","74","2149816","733405","209769","200746","63479","31246","100501","37660",""
"2026-07-27T02:06:35.029Z","0","21","80","174067","14534","5964","4015","3670","2744","2281","922",""
"2026-07-27T02:06:36.079Z","0","17","69","328420","90452","17934","4850","9914","19656","11940","5674",""
"2026-07-27T02:06:36.943Z","0","16","51","303199","148057","12088","3013","10550","13599","4837","2904",""
"2026-07-27T02:06:37.963Z","0","21","50","655619","187275","49387","28122","7287","16057","22373","4871",""
"2026-07-27T02:06:38.965Z","0","29","43","31967","30053","6317","5344","6639","12300","10651","8157",""
"2026-07-27T02:06:40.417Z","0","23","44","892066","59376","9238","7703","7873","6397","3549","1511",""
"2026-07-27T02:06:41.347Z","0","20","53","156562","91656","12999","8497","12231","6262","4990","2393",""
"2026-07-27T02:06:42.131Z","0","34","56","23327","6940","3143","7989","7832","4767","12806","1319",""
"2026-07-27T02:06:43.201Z","0","23","67","1207950","39506","24799","17717","4627","6694","7224","3778",""
"2026-07-27T02:06:43.987Z","0","27","69","2655161","91132","31429","10035","14726","23658","21482","5789",""
