timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-28T02:00:04.854Z","0","37","69","579593","65574","42644","11960","14464","7360","3875","1438",""
"2026-07-28T02:00:05.820Z","0","40","56","19836","6299","1990","1349","8974","3190","680","706",""
"2026-07-28T02:00:07.356Z","0","38","61","313760","91016","22725","11204","9943","10019","6932","6689",""
"2026-07-28T02:00:08.154Z","0","27","56","1179866","269147","5848","65062","27568","15587","22113","3822",""
"2026-07-28T02:00:08.958Z","0","38","50","29785","5502","1702","1280","675","2281","682","227",""
"2026-07-28T02:00:10.080Z","0","30","54","31073","6363","2456","745","1211","1350","833","713",""
"2026-07-28T02:00:11.076Z","0","35","51","94847","64686","11737","6468","19444","9268","2396","3751",""
"2026-07-28T02:00:11.982Z","0","37","51","1452770","77238","7503","15934","10130","6127","9253","6140",""
"2026-07-28T02:00:13.002Z","0","26","38","151069","138513","8396","3775","6071","11439","6189","2909",""
"2026-07-28T02:00:13.908Z","0","38","43","239261","15244","13250","13676","9247","23346","9590","1727",""
"2026-07-28T02:00:14.862Z","0","30","50","372124","149320","29687","35311","7283","11187","8317","7617",""
"2026-07-28T02:00:16.002Z","25","30","50","908524","149640","38834","166009","205164","140675","45292","43480",""
"2026-07-28T02:00:17.010Z","0","27","60","237986","7045","1603","4775","674","516","504","250",""
"2026-07-28T02:00:17.856Z","0","35","69","394903","31611","2770","6894","1569","6763","4805","1135",""
"2026-07-28T02:00:19.248Z","0","10","56","225277","354068","16178","30521","6369","9856","2612","2304",""
"2026-07-28T02:00:20.058Z","0","16","57","300349","42591","14096","13828","10819","7528","7223","9114",""
"2026-07-28T02:00:21.792Z","0","8","43","43212","37102","1729","3973","992","677","680","372",""
"2026-07-28T02:00:22.524Z","0","4","48","139623","17078","7189","3955","3622","2880","778","361",""
"2026-07-28T02:00:23.334Z","0","10","51","41152","218936","9804","27380","12325","10347","4643","5821",""
"2026-07-28T02:00:24.132Z","0","1","41","94289","372197","34003","26033","9777","8144","6976","3223",""
"2026-07-28T02:00:24.948Z","0","11","50","1004781","115366","23912","28427","6458","21710","1625","1764",""
"2026-07-28T02:00:25.896Z","0","8","47","515304","87312","19106","14784","2804","8566","11446","3989",""
"2026-07-28T02:00:27.288Z","0","16","51","1328707","356348","80128","46910","23604","48164","38655","33729",""
"2026-07-28T02:00:28.440Z","0","23","54","184559","76120","3427","13732","8291","4303","10443","4176",""
"2026-07-28T02:00:29.376Z","0","20","57","298017","132028","43887","40805","29518","16650","26823","5324",""
"2026-07-28T02:00:30.168Z","0","16","60","652755","33984","9902","9077","7362","2470","825","214",""
"2026-07-28T02:00:30.966Z","0","17","63","764488","81529","22095","15214","6688","14088","6083","4032",""
"2026-07-28T02:00:32.184Z","0","20","70","1236129","416896","231677","38549","73772","44043","44498","27266",""
"2026-07-28T02:00:33.486Z","26","20","70","1985485","95304","33520","19313","85091","19556","27720","11199",""
"2026-07-28T02:00:35.136Z","0","23","70","309063","25604","14376","6543","6439","5756","5060","1961",""
