timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-28T01:36:19.797Z","0","35","70","419073","145249","5671","8154","682","8327","11608","6051",""
"2026-07-28T01:36:21.883Z","0","47","61","382026","31615","5701","8988","4169","33393","19338","13009",""
"2026-07-28T01:36:22.915Z","0","51","61","183392","27757","9963","7727","12168","5700","5811","2853",""
"2026-07-28T01:36:24.691Z","0","78","66","6071","34615","2623","8738","10227","23262","31255","5718",""
"2026-07-28T01:36:26.527Z","0","84","64","2302","12886","2786","5221","7330","36502","10784","9494",""
"2026-07-28T01:36:28.020Z","0","94","63","14108","19167","2442","12905","8712","18321","14181","16415",""
"2026-07-28T01:36:29.340Z","0","88","56","7276","23137","3089","1154","8864","22083","20494","5836",""
"2026-07-28T01:36:30.942Z","0","61","63","1357855","232597","63470","42649","13857","34646","29022","11142",""
"2026-07-28T01:36:32.533Z","0","47","67","572023","139738","30643","55937","20597","31347","22016","22288",""
"2026-07-28T01:36:34.404Z","0","69","54","6278","779","634","2251","1730","6549","6131","1864",""
"2026-07-28T01:36:35.412Z","0","81","66","977206","49507","7324","42166","17748","50771","38139","30540",""
"2026-07-28T01:36:36.654Z","0","75","56","2576415","345957","25715","25003","8399","27003","27143","36229",""
"2026-07-28T01:36:38.622Z","0","37","77","134208","526783","145264","50470","13647","58151","99096","32059",""
"2026-07-28T01:36:40.380Z","0","24","75","427678","42974","3318","15417","8801","7300","9744","8410",""
"2026-07-28T01:36:43.020Z","0","29","77","1396481","139951","11054","34889","26621","20009","21728","11868",""
"2026-07-28T01:36:44.042Z","0","23","90","1613104","466613","219068","85103","17489","46460","44577","5715",""
"2026-07-28T01:36:46.470Z","0","38","84","936371","77605","24477","10229","64868","31878","59130","36878",""
"2026-07-28T01:36:48.577Z","0","66","56","781002","25971","3759","11007","7481","38475","49137","9108",""
"2026-07-28T01:36:50.857Z","0","56","63","400118","92995","27205","55082","19546","16327","17877","20016",""
"2026-07-28T01:36:51.991Z","0","40","88","91433","26883","8226","18144","8158","7150","8106","4671",""
"2026-07-28T01:36:53.587Z","0","37","80","409778","339048","122157","34004","19215","24727","37691","10704",""
"2026-07-28T01:36:55.363Z","0","30","66","823000","317377","38558","58257","33873","14586","7568","10058",""
"2026-07-28T01:36:56.389Z","0","30","66","283573","31054","3230","2142","6137","3650","3573","3623",""
"2026-07-28T01:36:57.738Z","0","30","70","56811","164052","120301","25644","21026","13995","18292","6078",""
"2026-07-28T01:36:59.059Z","0","26","67","1168780","272667","51743","14992","21022","36973","24836","5103",""
"2026-07-28T01:37:01.015Z","0","34","67","46206","112681","20701","15399","27932","17432","21082","19585",""
"2026-07-28T01:37:02.437Z","0","53","69","1310","7342","1862","7920","4574","8409","5596","3453",""
"2026-07-28T01:37:06.241Z","0","60","69","169092","162524","2569","12865","8753","13639","10006","4358",""
"2026-07-28T01:37:08.341Z","0","30","50","7706","2761","1751","519","922","1072","875","432",""
"2026-07-28T01:37:09.558Z","0","38","74","463734","13572","28724","6000","5705","9067","5756","7482",""
"2026-07-28T01:37:11.113Z","0","44","77","225838","50430","5686","5804","5620","7700","6486","2984",""
"2026-07-28T01:37:12.781Z","0","44","64","83135","51849","4598","7992","7033","6103","6054","1682",""
"2026-07-28T01:37:15.288Z","0","44","84","51938","13761","15596","15301","5787","4790","753","691",""
"2026-07-28T01:37:17.334Z","0","37","97","1492812","35570","11085","8120","3681","1496","1619","444",""
"2026-07-28T01:37:18.918Z","0","27","100","40284","7206","5854","3389","1427","2454","2278","1090",""
"2026-07-28T01:37:20.419Z","0","26","97","15235","4494","3910","1075","2333","976","980","376",""
"2026-07-28T01:37:21.786Z","0","50","67","19366","18974","1456","4457","2128","1832","1757","1022",""
"2026-07-28T01:37:31.453Z","0","47","67","7628","16109","1989","1162","2232","3412","782","1543",""
"2026-07-28T01:37:37.105Z","0","48","66","560055","124687","65581","91112","16417","20310","36463","14108",""
"2026-07-28T01:37:39.187Z","0","44","78","243175","42328","19703","8474","6223","10068","18305","4903",""
"2026-07-28T01:37:40.669Z","0","66","64","40105","33365","7666","17963","15915","26982","11771","6585",""
"2026-07-28T01:37:42.259Z","0","81","69","1686","3535","721","3155","1451","2387","1160","531",""
"2026-07-28T01:37:44.065Z","0","70","75","37921","18223","6064","5351","6560","10072","6648","7998",""
"2026-07-28T01:37:45.324Z","0","67","77","9451","10927","7057","8495","5578","6889","4622","1611",""
"2026-07-28T01:37:47.298Z","0","66","81","7810","3610","965","7223","1682","2294","1901","1088",""
"2026-07-28T01:37:49.069Z","0","67","84","14445","3487","16853","4773","5084","3758","1762","1670",""
"2026-07-28T01:37:50.376Z","0","63","88","4195","5143","4258","2292","1332","1560","269","319",""
"2026-07-28T01:37:52.111Z","0","41","88","12553","22083","10350","14660","2305","4036","1859","2461",""
"2026-07-28T01:37:53.298Z","0","30","69","111934","50128","6433","3781","2414","2081","1029","2146",""
"2026-07-28T01:37:54.349Z","0","34","57","386162","94726","2590","22600","18283","21402","14534","1926",""
"2026-07-28T01:37:56.046Z","0","64","35","30137","9449","1227","3081","8831","7859","5803","3144",""
"2026-07-28T01:37:58.123Z","0","91","53","27286","11464","15663","12954","13996","7111","4398","2735",""
"2026-07-28T01:38:00.289Z","0","83","70","13156","1621","1936","5141","4351","6918","2360","1199",""
"2026-07-28T01:38:02.166Z","0","74","75","19132","6541","8500","4038","7272","4949","1951","2612",""
"2026-07-28T01:38:04.195Z","0","70","69","4252","5697","2825","1283","2054","2233","2442","5468",""
"2026-07-28T01:38:05.935Z","0","63","51","30161","51280","6751","2534","10788","6398","1615","1554",""
"2026-07-28T01:38:06.949Z","0","43","70","49219","3289","4806","8035","1567","844","900","337",""
"2026-07-28T01:38:08.251Z","0","40","77","16829","8327","13518","4442","4432","3937","2394","5024",""
"2026-07-28T01:38:09.253Z","0","41","88","8714","717","1482","1258","772","786","466","309",""
"2026-07-28T01:38:10.921Z","0","57","75","6301","21512","1058","1735","4330","3815","2264","807",""
"2026-07-28T01:38:12.001Z","0","56","69","10785","7493","3195","2085","2101","1490","1298","2638",""
"2026-07-28T01:38:13.123Z","0","54","60","35621","16408","4910","3849","4146","4405","2936","1148",""
"2026-07-28T01:38:14.695Z","0","47","51","561008","84091","21100","3084","2926","13261","12306","4134",""
"2026-07-28T01:38:16.105Z","0","37","57","728797","271465","49366","18780","10149","13778","7788","9174",""
"2026-07-28T01:38:17.527Z","0","51","53","19870","13753","5914","3822","22206","28001","20655","7727",""
"2026-07-28T01:38:19.117Z","0","87","53","13134","16238","4482","1423","3681","10229","4747","12185",""
"2026-07-28T01:38:22.266Z","0","93","43","48340","5791","1226","367","1114","2135","1392","1346",""
"2026-07-28T01:38:23.275Z","0","80","47","40234","26922","7962","5428","3349","7857","11489","4018",""
"2026-07-28T01:38:24.517Z","0","88","48","45000","5985","9180","6752","1761","23133","19687","5636",""
"2026-07-28T01:38:27.091Z","0","100","51","46065","5325","3951","7439","11689","16456","5048","6663",""
"2026-07-28T01:38:29.395Z","0","93","63","4311","8330","3873","431","2616","2678","1177","432",""
"2026-07-28T01:38:31.489Z","0","90","60","2811","5709","420","4192","2602","10910","10746","2360",""
"2026-07-28T01:38:32.677Z","0","90","67","14495","4779","6359","3743","11270","5835","4913","2291",""
"2026-07-28T01:38:34.267Z","0","74","80","29709","11644","8662","4733","9617","5577","4905","4781",""
"2026-07-28T01:38:35.959Z","0","50","77","6122","24714","8789","1918","4614","4215","1273","1007",""
"2026-07-28T01:38:38.262Z","0","34","80","4186","1767","2716","1103","1372","298","378","347",""
"2026-07-28T01:38:40.314Z","0","30","75","8197","21772","8459","1845","5400","2381","1727","1613",""
"2026-07-28T01:38:41.443Z","0","35","69","314476","73013","5111","20029","20701","19745","7658","11969",""
"2026-07-28T01:38:43.663Z","0","67","53","724","2866","903","964","2584","1825","3397","1558",""
"2026-07-28T01:38:57.745Z","0","78","74","10418","14213","2457","2892","6845","22190","14198","5820",""
"2026-07-28T01:39:00.499Z","0","96","57","7595","7596","2738","4000","1225","4305","4308","2577",""
"2026-07-28T01:39:01.657Z","0","67","67","6343","9231","6033","5285","6656","5699","4933","1645",""
"2026-07-28T01:39:03.439Z","0","83","61","4089","1296","890","6737","3185","21545","1403","3230",""
"2026-07-28T01:39:05.035Z","0","93","61","4736","14003","3648","5358","2221","5488","3256","1422",""
"2026-07-28T01:39:07.135Z","0","81","60","3161","4514","275","471","2080","6325","2317","3828",""
"2026-07-28T01:39:08.779Z","0","78","61","20498","11917","2907","5178","3025","6983","7360","3742",""
"2026-07-28T01:39:09.840Z","0","80","51","31745","7970","539","6595","3788","7072","4955","1949",""
"2026-07-28T01:39:10.963Z","0","74","63","30883","12269","4667","3259","9559","10833","13197","864",""
"2026-07-28T01:39:12.751Z","0","84","56","27792","4794","6796","3332","5533","11743","10529","7133",""
"2026-07-28T01:39:13.801Z","0","90","54","15860","6682","3681","4214","6311","14272","16721","2540",""
"2026-07-28T01:39:14.869Z","0","91","60","5770","9488","10291","2227","4440","13551","9556","2402",""
"2026-07-28T01:39:16.693Z","0","94","53","7258","5549","647","786","4328","3435","4873","2763",""
"2026-07-28T01:39:17.714Z","0","88","56","3761","5717","1531","5410","1956","4622","1606","1651",""
"2026-07-28T01:39:18.715Z","0","88","63","3206","3064","5165","10736","3626","10554","4981","1856",""
"2026-07-28T01:39:19.891Z","0","83","57","21546","10064","1242","3008","6043","6925","15173","2556",""
"2026-07-28T01:39:21.103Z","0","83","69","3926","5573","2211","3086","1840","6207","2603","1685",""
"2026-07-28T01:39:22.747Z","0","75","60","9217","11156","3632","5115","1692","4212","3342","4684",""
"2026-07-28T01:39:24.607Z","0","87","60","13893","3956","3762","2268","7442","11113","2481","3843",""
"2026-07-28T01:39:25.608Z","0","93","60","23023","13189","5640","4722","6805","14207","5902","3085",""
"2026-07-28T01:39:26.731Z","0","100","54","6268","8120","1502","3960","1975","12288","9774","1824",""
"2026-07-28T01:39:27.816Z","0","100","53","6083","5016","1325","3224","6110","8700","5034","1843",""
"2026-07-28T01:39:28.867Z","0","94","54","16042","4419","2974","3429","6519","5625","9098","3124",""
"2026-07-28T01:39:30.721Z","0","84","66","2474","5711","2137","5660","4300","5190","3205","5661",""
"2026-07-28T01:39:32.724Z","0","88","61","19816","13228","1813","4075","9811","14514","5617","5344",""
"2026-07-28T01:39:34.776Z","0","97","54","767","1094","1273","151","391","1438","923","1291",""
"2026-07-28T01:39:35.958Z","0","97","51","6576","3972","3895","1611","6098","10990","5731","1646",""
"2026-07-28T01:39:37.722Z","0","90","56","14060","13062","6109","5262","3883","6839","4057","2256",""
"2026-07-28T01:39:39.619Z","0","60","74","10558","10390","15332","19626","3910","2813","9406","2552",""
"2026-07-28T01:39:40.657Z","0","50","83","18419","13210","1609","7849","5542","5146","7757","3825",""
"2026-07-28T01:39:41.959Z","0","43","84","39290","26371","12866","6161","3999","5921","7439","2763",""
"2026-07-28T01:39:43.549Z","0","48","67","7029","23337","4148","3445","6357","4083","3025","2428",""
"2026-07-28T01:39:44.701Z","0","53","67","11454","6324","2793","2532","3382","4143","1495","1159",""
"2026-07-28T01:39:46.542Z","0","43","67","252980","72953","13035","25247","8364","7908","7333","3559",""
"2026-07-28T01:39:47.569Z","0","51","70","12973","7942","4175","1140","2312","4948","4832","696",""
"2026-07-28T01:39:48.625Z","0","38","66","505601","201004","33136","18923","16796","19329","11554","14098",""
"2026-07-28T01:39:50.785Z","0","34","53","741525","126715","22679","16185","10479","9896","17395","19889",""
"2026-07-28T01:39:52.063Z","0","24","57","1685451","37297","20824","9387","5217","10549","8901","4605",""
"2026-07-28T01:39:53.850Z","0","34","57","679965","87669","17463","21464","46240","34148","31149","16961",""
"2026-07-28T01:39:55.542Z","26","41","67","167875","11215","3875","4724","2753","14248","13556","7265",""
"2026-07-28T01:39:56.796Z","0","34","57","101992","629572","67568","75734","57666","44783","26654","34204",""
"2026-07-28T01:39:58.458Z","0","30","60","226752","97958","7141","7890","8476","13440","10089","7307",""
"2026-07-28T01:39:59.665Z","0","35","51","1087103","63548","9674","20053","17239","22152","9897","8166",""
"2026-07-28T01:40:01.764Z","0","47","41","693900","182559","13911","11497","33293","39722","37139","16303",""
"2026-07-28T01:40:03.438Z","0","34","50","727764","30119","8138","6323","4577","3358","4566","2212",""
"2026-07-28T01:40:04.524Z","0","29","53","285231","75470","22169","34530","12919","14062","19801","4229",""
"2026-07-28T01:40:06.516Z","0","35","54","167667","134044","3179","13128","21885","26220","27413","19841",""
"2026-07-28T01:40:07.591Z","0","41","47","209095","19099","2533","1052","1948","5021","2168","1498",""
"2026-07-28T01:40:08.820Z","0","35","41","1165266","101490","10225","26222","11597","5763","22996","2403",""
"2026-07-28T01:40:10.927Z","0","40","63","1379818","57571","62939","13940","22394","44077","36506","43496",""
"2026-07-28T01:40:12.517Z","0","43","88","474402","4155","12844","1644","1760","1860","4306","1414",""
"2026-07-28T01:40:13.608Z","0","44","77","4700","4623","796","206","717","1014","711","489",""
"2026-07-28T01:40:15.499Z","0","43","77","3912","1044","832","253","864","442","475","444",""
"2026-07-28T01:40:16.560Z","0","50","66","9020","11148","6392","1982","1188","3681","2266","1887",""
"2026-07-28T01:40:18.535Z","0","48","66","5089","7493","10286","1818","4839","2687","2247","1895",""
"2026-07-28T01:40:19.591Z","0","41","63","9191","19203","1165","5960","1595","2460","2318","770",""
"2026-07-28T01:40:21.390Z","0","43","70","17246","1778","654","1559","582","648","304","801",""
"2026-07-28T01:40:22.573Z","0","43","77","75077","7339","18913","5011","4872","3648","4123","1896",""
"2026-07-28T01:40:23.995Z","0","50","70","5908","6450","699","831","931","1760","1922","834",""
"2026-07-28T01:40:25.584Z","0","29","77","17781","7037","2882","2711","1999","348","525","278",""
"2026-07-28T01:40:26.622Z","0","38","70","109369","5816","1728","4892","6933","5409","2020","3247",""
"2026-07-28T01:40:28.158Z","0","38","74","3428","4890","2616","1495","1146","1048","695","328",""
"2026-07-28T01:40:29.749Z","0","48","74","8950","2782","482","1400","1052","1196","368","152",""
"2026-07-28T01:40:31.231Z","0","43","64","330031","146553","18348","13730","21227","18920","8547","2988",""
"2026-07-28T01:40:32.934Z","0","35","66","235098","12688","6778","4170","828","2168","3958","1812",""
"2026-07-28T01:40:34.530Z","0","43","75","317395","19328","6976","8429","3287","4916","6963","3163",""
"2026-07-28T01:40:36.529Z","0","40","53","54631","30765","2107","2401","2548","2188","523","1117",""
"2026-07-28T01:40:47.527Z","0","60","77","33144","45899","24083","9587","16728","10576","41495","12049",""
"2026-07-28T01:40:48.324Z","0","64","84","100996","13718","26269","19033","8966","52639","11001","5741",""
"2026-07-28T01:40:49.278Z","0","67","81","8407","4858","5574","2240","1008","3431","3141","1925",""
"2026-07-28T01:40:50.370Z","0","61","78","104604","46800","15203","10823","5044","10593","11415","4138",""
"2026-07-28T01:40:51.264Z","0","67","69","15066","10406","1953","1770","1918","4546","7101","1792",""
"2026-07-28T01:40:52.260Z","0","61","63","185598","11081","3502","737","1353","6029","2601","2687",""
"2026-07-28T01:40:53.238Z","0","56","56","51077","29934","4155","9605","4039","5947","16101","3237",""
"2026-07-28T01:40:54.229Z","0","61","56","1868","4442","2176","1116","966","2162","1419","1085",""
"2026-07-28T01:40:55.350Z","0","56","60","18934","14593","3780","2995","4377","3905","3755","1435",""
"2026-07-28T01:40:56.401Z","0","56","61","100474","26820","14956","2067","20269","14760","5682","1984",""
"2026-07-28T01:40:57.301Z","0","61","60","33467","10691","3325","2565","4573","4566","2584","2216",""
"2026-07-28T01:40:58.386Z","0","51","64","3073","2977","2856","683","798","530","589","191",""
"2026-07-28T01:40:59.490Z","0","48","74","14365","14866","10476","13227","7463","5421","2142","1380",""
"2026-07-28T01:41:00.474Z","0","37","70","51033","19930","2070","5422","6992","2123","2964","1515",""
"2026-07-28T01:41:01.453Z","0","34","78","8867","11535","3231","9824","4223","3731","5446","3322",""
"2026-07-28T01:41:02.436Z","0","37","70","10686","2482","714","757","804","626","637","250",""
"2026-07-28T01:41:03.325Z","0","35","70","14901","8382","11576","1780","3463","2496","3099","3604",""
"2026-07-28T01:41:04.339Z","0","44","69","30081","14739","2477","2722","5236","4171","3595","1331",""
"2026-07-28T01:41:05.400Z","0","48","69","28898","8028","11051","1253","4161","4956","2751","1694",""
"2026-07-28T01:41:06.270Z","0","47","69","26902","15939","10552","3993","19408","3644","2547","1440",""
"2026-07-28T01:41:07.464Z","0","47","61","29299","24612","7118","3336","3683","3689","3356","8207",""
"2026-07-28T01:41:08.305Z","0","41","69","14316","15311","11229","2518","5035","3987","2678","3389",""
"2026-07-28T01:41:09.348Z","0","37","63","1546721","330347","72987","102095","124640","65187","47443","26748",""
"2026-07-28T01:41:10.296Z","0","40","64","1539223","142307","54388","27672","22610","44361","45156","23067",""
"2026-07-28T01:41:11.485Z","0","34","66","681007","241871","86884","20270","28759","16760","18273","9519",""
"2026-07-28T01:41:12.277Z","0","27","56","524923","184147","12018","32659","12261","14412","12663","9470",""
"2026-07-28T01:41:13.213Z","0","23","60","965998","18732","11431","1973","7403","2220","5971","2663",""
"2026-07-28T01:41:14.364Z","0","24","56","108131","41425","12293","9094","10955","16225","9773","2863",""
"2026-07-28T01:41:15.409Z","0","38","54","100690","13749","6250","1312","3674","5270","1888","1857",""
"2026-07-28T01:41:16.525Z","0","27","47","175471","28786","1014","1866","1342","741","619","351",""
"2026-07-28T01:41:17.424Z","0","27","48","14976","21466","10610","8741","7469","2476","1638","1493",""
"2026-07-28T01:41:18.438Z","0","26","53","30546","2843","1659","1345","952","1122","1227","741",""
"2026-07-28T01:41:21.486Z","0","24","60","232276","2275","685","1696","323","1126","660","256",""
"2026-07-28T01:41:22.320Z","0","35","78","107176","23443","20900","6788","2581","3599","3730","1431",""
"2026-07-28T01:41:23.424Z","0","27","70","460826","181588","38308","25902","13508","22478","27697","6159",""
"2026-07-28T01:41:24.145Z","0","14","64","113924","74366","7903","17710","3225","5028","5316","3760",""
"2026-07-28T01:41:24.870Z","0","14","48","211084","102710","5023","1784","1069","6433","7304","1455",""
"2026-07-28T01:41:25.669Z","0","8","37","353889","565616","93268","64530","25041","25731","58871","59542",""
"2026-07-28T01:41:27.469Z","0","4","35","119185","23619","3896","2557","989","1696","5110","1597",""
"2026-07-28T01:41:28.423Z","0","37","20","468530","21221","1347","4655","15347","81751","42213","24277",""
"2026-07-28T01:41:29.035Z","0","60","35","36759","6341","7585","4818","7482","20329","24317","8582",""
"2026-07-28T01:41:29.910Z","0","81","38","1653","1787","828","1531","1632","2535","2861","3205",""
"2026-07-28T01:41:30.829Z","0","100","40","32897","5593","1991","9739","14138","17420","13789","9098",""
"2026-07-28T01:41:32.358Z","0","97","53","87176","1602","1928","401","4557","4770","5913","4549",""
"2026-07-28T01:41:34.819Z","0","61","50","1273413","155684","50646","9710","12608","30982","29881","16698",""
"2026-07-28T01:41:35.611Z","0","50","40","103409","18558","463","1383","1625","6051","2695","993",""
