timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-27T02:16:26.333Z","0","16","56","180838","44403","21238","7427","10062","5220","2913","1798",""
"2026-07-27T02:16:34.127Z","0","30","48","187516","88233","17726","25119","12740","12215","3547","1671",""
"2026-07-27T02:16:35.627Z","0","40","44","2398382","228822","17521","10947","10940","16785","16906","8143",""
"2026-07-27T02:16:36.300Z","0","41","61","159429","6644","13981","6630","5471","2854","3160","1303",""
"2026-07-27T02:16:37.518Z","0","51","60","698478","77778","35343","12860","18594","35635","14468","6052",""
"2026-07-27T02:16:38.825Z","0","43","67","91910","81781","20344","35504","10221","5694","4244","2341",""
"2026-07-27T02:16:40.817Z","0","54","81","69745","39816","15253","11759","7628","23748","6781","4904",""
"2026-07-27T02:16:47.927Z","0","38","64","335638","346937","34468","9033","7687","9215","17465","8898",""
"2026-07-27T02:16:52.007Z","0","30","70","75052","47966","22959","18574","20649","12771","3996","4161",""
"2026-07-27T02:16:54.581Z","0","23","54","79551","29880","4036","1952","3174","1605","1537","1164",""
"2026-07-27T02:16:57.696Z","0","20","47","501856","27013","9439","2157","5440","2128","3111","1861",""
"2026-07-27T02:16:58.500Z","0","17","47","754205","428710","44485","26307","24085","19021","5771","13968",""
"2026-07-27T02:16:59.196Z","0","34","40","329907","134783","25141","18721","21682","65427","21366","30774",""
"2026-07-27T02:16:59.981Z","0","56","50","13825","12155","13252","4773","9408","18013","5184","3460",""
"2026-07-27T02:17:01.205Z","0","54","51","181265","170150","60119","29905","33282","11381","10827","3326",""
"2026-07-27T02:17:02.573Z","0","66","57","1231865","149407","46013","14593","9912","36422","20017","6160",""
"2026-07-27T02:17:03.359Z","0","54","70","317537","24622","9873","25491","20468","5058","10635","5788",""
"2026-07-27T02:17:06.060Z","0","40","70","445261","173479","45600","44024","8189","22921","10451","3385",""
"2026-07-27T02:17:07.985Z","0","44","51","765193","209198","26138","11373","24345","14539","8276","3460",""
"2026-07-27T02:17:09.209Z","0","50","60","212180","79148","8367","31968","16123","11308","8332","10236",""
"2026-07-27T02:17:10.055Z","0","48","64","405732","100196","50941","23336","19007","39176","45158","5428",""
"2026-07-27T02:17:10.841Z","0","47","78","870846","327578","27759","230777","72604","24733","72356","39973",""
"2026-07-27T02:17:12.222Z","0","41","78","230674","43075","16193","21180","9195","6523","8489","5000",""
"2026-07-27T02:17:13.073Z","0","40","66","1124017","229498","4651","26167","11692","18570","15870","3798",""
"2026-07-27T02:17:16.320Z","0","24","56","2210554","621523","82745","39788","19913","26021","34631","32821",""
"2026-07-27T02:17:18.169Z","0","47","47","2010964","88510","28799","57675","17784","19555","9337","5395",""
"2026-07-27T02:17:19.225Z","0","50","57","168309","336238","132877","12079","87946","35382","24690","27650",""
"2026-07-27T02:17:20.305Z","0","44","63","258676","306580","30805","43915","38548","11442","4684","5403",""
"2026-07-27T02:17:21.132Z","0","24","64","263150","69334","35087","5122","1231","3614","6398","640",""
"2026-07-27T02:17:21.919Z","0","26","64","676190","16566","5979","9089","5159","4611","2756","509",""
"2026-07-27T02:17:22.723Z","0","24","61","441550","318245","50512","21480","3764","19829","16907","19164",""
"2026-07-27T02:17:23.575Z","0","29","64","744551","135351","29997","27266","29571","11139","18083","4776",""
"2026-07-27T02:17:24.715Z","0","30","54","1206893","198370","34597","12707","25210","11565","40834","10072",""
"2026-07-27T02:17:25.675Z","0","24","47","853798","243803","16727","49894","21671","20299","10219","9650",""
"2026-07-27T02:17:26.509Z","0","37","43","213183","100748","11046","14347","55914","27901","17264","12679",""
"2026-07-27T02:17:28.129Z","0","43","35","105608","26604","2568","2796","3241","4458","5432","1756",""
"2026-07-27T02:17:29.599Z","0","47","41","1369791","168353","13005","53983","15124","18936","13174","10725",""
"2026-07-27T02:17:33.145Z","0","47","54","140574","17435","2351","4459","6751","3759","1922","868",""
"2026-07-27T02:17:33.931Z","0","47","60","194219","72294","10526","30157","24242","8325","5535","2331",""
"2026-07-27T02:17:34.717Z","0","38","44","565203","50217","341","4410","3023","5508","4197","2295",""
"2026-07-27T02:17:35.503Z","0","37","44","1495462","520401","164068","40624","40913","21555","56605","23006",""
"2026-07-27T02:17:50.496Z","0","40","37","665380","318522","60319","26177","19665","18047","14653","8415",""
"2026-07-27T02:17:51.793Z","0","21","50","305836","72346","15041","2393","10187","2274","2964","1088",""
"2026-07-27T02:17:52.507Z","0","53","63","424125","45754","45741","16474","21578","42682","20340","11660",""
"2026-07-27T02:17:53.785Z","0","66","67","472121","149860","65970","38198","30497","24537","9101","16077",""
"2026-07-27T02:17:54.571Z","0","53","75","126607","29262","11315","7797","4796","3951","3087","6306",""
"2026-07-27T02:17:55.356Z","0","50","81","1988992","69133","81990","152670","50145","79735","44857","26948",""
"2026-07-27T02:17:56.550Z","0","48","78","628354","137404","42151","4817","22311","16024","25188","4268",""
"2026-07-27T02:17:58.543Z","0","48","63","2359788","278207","5346","25992","17486","26231","14127","6704",""
"2026-07-27T02:18:00.001Z","0","44","57","71918","107331","17635","17018","4669","7922","6126","5259",""
"2026-07-27T02:18:01.657Z","0","47","40","1263173","578562","16045","53503","41025","137432","114906","19183",""
"2026-07-27T02:18:02.317Z","0","48","64","147672","53436","126582","20100","27941","22309","16146","6923",""
"2026-07-27T02:18:03.739Z","0","44","64","747008","83844","11275","18971","13654","4605","3581","2186",""
"2026-07-27T02:18:04.885Z","0","27","54","38303","99806","12989","7979","8586","5268","7554","1247",""
"2026-07-27T02:18:05.671Z","0","24","38","316271","53623","8141","6628","2842","4465","2250","1859",""
"2026-07-27T02:18:06.457Z","0","30","51","41597","7205","10785","3817","3833","2212","1058","1686",""
"2026-07-27T02:18:07.446Z","0","38","67","190543","15308","5289","5250","3335","3805","3403","1398",""
"2026-07-27T02:18:08.754Z","0","38","77","299787","126957","39027","31937","31087","10649","7880","2518",""
"2026-07-27T02:18:10.873Z","0","30","78","1043066","323507","79708","28346","3400","10429","18057","3738",""
"2026-07-27T02:18:11.640Z","0","27","66","167419","45254","18746","5513","11622","4982","6065","837",""
