timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-27T02:08:17.727Z","0","26","70","347235","520813","131977","160293","37511","35721","29963","14250",""
"2026-07-27T02:08:18.730Z","0","26","74","152366","3095","1922","2419","5294","3064","2033","1591",""
"2026-07-27T02:08:19.551Z","0","34","74","818316","42944","7268","40772","22187","20275","14524","6144",""
"2026-07-27T02:08:20.883Z","0","38","61","810491","78644","8605","3183","4033","13370","12782","8187",""
"2026-07-27T02:08:21.663Z","0","50","64","39655","18531","14722","9755","8673","7302","3810","3839",""
"2026-07-27T02:08:22.569Z","0","48","48","148345","63067","1929","4565","17467","25529","11912","3185",""
"2026-07-27T02:08:23.589Z","0","34","47","1788814","330376","125615","24785","5584","13662","11728","8476",""
"2026-07-27T02:08:24.519Z","0","37","63","15182","10311","15695","6855","13172","9406","3036","4829",""
"2026-07-27T02:08:25.654Z","0","21","43","1870663","1489130","70980","67018","146465","37051","70337","70964",""
"2026-07-27T02:08:26.517Z","0","8","67","2564310","63280","65732","5561","11549","8922","24020","8281",""
"2026-07-27T02:08:27.615Z","0","35","60","31841","16431","1199","7768","5136","24265","19667","15591",""
"2026-07-27T02:08:28.527Z","0","53","43","13970","3111","2294","538","8445","14838","8356","6834",""
"2026-07-27T02:08:29.511Z","0","66","54","61376","49370","15895","4942","6871","10391","3147","4874",""
"2026-07-27T02:08:30.568Z","0","67","53","736409","87610","30437","41743","16159","10697","6221","7100",""
"2026-07-27T02:08:31.515Z","0","48","51","208933","63662","6896","7129","8677","5778","8112","3642",""
"2026-07-27T02:08:32.668Z","0","30","56","608093","214746","39221","20159","40966","80026","72782","21778",""
"2026-07-27T02:08:33.495Z","0","23","51","48025","272427","28513","32537","14410","16941","14884","10107",""
"2026-07-27T02:08:34.521Z","0","26","51","89772","24094","17478","3140","2595","4733","1948","1363",""
"2026-07-27T02:08:35.583Z","0","34","61","358549","22679","11485","4406","1742","6502","6639","1201",""
"2026-07-27T02:08:36.628Z","0","20","70","397503","51134","8716","20374","5826","3912","9106","4043",""
"2026-07-27T02:08:37.605Z","0","16","61","99534","37320","1215","1454","1081","1385","3198","2518",""
"2026-07-27T02:08:38.571Z","0","24","54","139793","43561","16552","5995","13915","24133","13035","7263",""
"2026-07-27T02:08:39.489Z","0","16","60","132615","84427","64471","57335","28022","10197","15400","4754",""
"2026-07-27T02:08:40.605Z","0","13","54","1239006","184255","37767","22264","15373","9299","14966","3899",""
"2026-07-27T02:08:41.697Z","26","13","54","209264","110145","51838","12283","3389","12582","28712","5143",""
"2026-07-27T02:08:42.772Z","0","30","67","1938012","71999","22013","13930","12858","35541","16425","3219",""
"2026-07-27T02:08:43.839Z","0","13","66","478742","144848","19370","14837","13363","5132","6860","5887",""
"2026-07-27T02:08:44.745Z","0","27","60","5420","12473","11716","6067","13201","9531","4299","2924",""
"2026-07-27T02:08:45.531Z","0","41","66","19079","10154","6722","2626","3632","4466","4748","1908",""
"2026-07-27T02:08:47.289Z","0","34","67","28937","48456","10253","13601","8644","7325","3580","1761",""
"2026-07-27T02:08:48.838Z","0","47","67","51285","37466","4595","8309","5374","8196","2434","1403",""
"2026-07-27T02:08:50.139Z","0","41","63","8106","12940","1063","11955","6224","5701","1606","1682",""
"2026-07-27T02:08:50.920Z","0","41","64","28381","23826","4676","9709","8734","4201","1061","2317",""
"2026-07-27T02:08:51.705Z","0","43","74","12087","8638","8785","5748","9845","5112","2039","1945",""
"2026-07-27T02:08:53.325Z","0","43","66","735935","43174","1261","9988","13844","9071","2652","4211",""
"2026-07-27T02:08:54.909Z","0","43","66","9642","5285","2300","4205","4548","3292","2523","5471",""
"2026-07-27T02:08:56.085Z","0","23","69","1199160","369941","115269","33311","35566","23599","48259","9404",""
"2026-07-27T02:08:56.872Z","27","23","69","303348","20045","634","214","423","2954","1833","1816",""
"2026-07-27T02:08:57.909Z","0","20","75","248411","5393","875","1564","1682","839","1231","1343",""
"2026-07-27T02:08:58.689Z","0","14","75","1004605","80205","24068","22730","9617","15913","13482","10717",""
"2026-07-27T02:08:59.655Z","0","27","74","12232","11567","18193","8412","6502","8680","7006","1673",""
"2026-07-27T02:09:01.023Z","0","34","83","2357362","220457","36166","239786","12545","52539","41882","22975",""
"2026-07-27T02:09:01.809Z","0","38","93","5399","11557","4190","14803","5827","5876","2740","1549",""
"2026-07-27T02:09:02.697Z","0","35","87","1024306","1227786","12194","341039","145067","128417","117386","67986",""
"2026-07-27T02:09:03.663Z","0","35","81","947828","116966","53843","41207","12108","42246","96132","18096",""
"2026-07-27T02:09:04.575Z","0","44","77","263783","47024","44389","8401","17214","37231","40901","21977",""
"2026-07-27T02:09:05.745Z","0","47","64","2362712","44139","10926","5746","7630","12517","15706","5993",""
"2026-07-27T02:09:06.525Z","0","47","70","26555","40851","15974","8998","11098","5797","8833","2666",""
"2026-07-27T02:09:08.673Z","0","47","78","1329773","52615","55818","68956","20645","39423","50646","18904",""
"2026-07-27T02:09:09.921Z","0","35","78","25931","36640","10132","17478","8556","5155","10902","6518",""
"2026-07-27T02:09:11.158Z","0","43","80","74283","29809","33728","7641","9622","15436","3590","3554",""
"2026-07-27T02:09:12.093Z","0","43","70","61260","24733","9712","6935","4310","8524","3286","3967",""
"2026-07-27T02:09:13.041Z","0","60","63","35539","12634","3571","3625","3590","13090","1811","4918",""
"2026-07-27T02:09:14.657Z","0","60","70","1102450","68718","11818","36581","10898","31972","26216","36828",""
"2026-07-27T02:09:15.785Z","0","63","63","90717","36875","1825","17006","13641","17860","6784","5892",""
"2026-07-27T02:09:16.415Z","0","63","63","6744","23779","12042","6919","9790","11118","22501","7265",""
"2026-07-27T02:09:16.967Z","0","63","63","6664","7824","2962","2687","4387","8282","9078","2019",""
"2026-07-27T02:09:17.753Z","0","63","60","17683","35610","7371","11894","8127","13432","9057","7865",""
"2026-07-27T02:09:18.539Z","0","51","56","2114315","150158","20452","13566","11679","12977","14268","4502",""
"2026-07-27T02:09:19.889Z","0","41","53","110619","67443","22198","7218","8128","6648","5906","1693",""
"2026-07-27T02:09:20.675Z","0","29","57","101493","33834","4907","18359","11415","8172","7778","1973",""
"2026-07-27T02:09:21.461Z","0","27","51","207378","25810","4539","2708","8403","7011","3969","1686",""
"2026-07-27T02:09:22.319Z","0","40","54","17033","18409","1948","10405","8781","11256","4506","3656",""
"2026-07-27T02:09:23.411Z","0","38","53","2251978","980029","56269","211021","80585","73577","53945","18868",""
"2026-07-27T02:09:24.677Z","0","51","56","25337","3876","5412","17248","10281","20660","15890","5537",""
"2026-07-27T02:09:25.457Z","0","43","74","16060","50651","42702","35658","6936","8857","9838","5984",""
"2026-07-27T02:09:26.362Z","0","44","74","531126","29329","15398","3463","10628","19950","20422","4817",""
"2026-07-27T02:09:27.245Z","0","61","77","1364","17046","4878","8858","4134","14889","4667","5116",""
"2026-07-27T02:09:28.289Z","0","57","69","2528","7810","3813","2254","4729","6760","1474","1170",""
"2026-07-27T02:09:29.315Z","0","74","63","8355","6198","5877","6463","7512","9123","4123","1416",""
"2026-07-27T02:09:30.341Z","0","67","66","22028","16880","6321","8152","14878","6913","2779","3898",""
"2026-07-27T02:09:31.313Z","0","67","66","10333","13438","5487","8494","2541","15279","10181","4667",""
"2026-07-27T02:09:32.273Z","0","53","70","27342","65597","30654","5849","4858","6230","2133","1938",""
"2026-07-27T02:09:33.232Z","0","40","74","56241","41754","13265","23250","9228","6752","3532","1094",""
"2026-07-27T02:09:34.727Z","0","41","84","19181","3639","11018","3728","1284","5498","4284","863",""
"2026-07-27T02:09:35.651Z","0","14","94","16796","34763","25120","23738","1229","1420","3311","2395",""
"2026-07-27T02:09:36.437Z","0","23","100","38409","24240","14215","13276","7720","8234","3060","2688",""
"2026-07-27T02:09:37.487Z","0","21","94","40538","51552","12525","12437","8797","5993","3832","1732",""
"2026-07-27T02:09:38.273Z","0","20","88","17302","8424","4724","8753","6997","4316","2911","4371",""
"2026-07-27T02:09:39.485Z","0","26","81","865109","86255","51062","8072","12092","6169","5812","8121",""
"2026-07-27T02:09:40.361Z","0","21","75","1462210","314119","65979","69977","5950","41294","11267","14067",""
"2026-07-27T02:09:41.273Z","0","24","78","717207","90670","45410","13327","14226","18215","13071","7314",""
"2026-07-27T02:09:42.245Z","0","34","75","95178","11410","12288","4450","2813","17292","5037","1689",""
"2026-07-27T02:09:43.181Z","0","53","81","1954201","20781","79655","63360","19163","87576","26912","48545",""
"2026-07-27T02:09:44.309Z","0","53","93","1749183","61187","99677","42074","12602","18772","23229","15092",""
"2026-07-27T02:09:45.340Z","0","54","94","27530","10724","6608","1678","2530","2721","938","1282",""
"2026-07-27T02:09:46.954Z","0","47","87","325917","63143","2762","19859","10692","17374","11929","2460",""
"2026-07-27T02:09:47.741Z","0","37","74","26492","42176","10507","8401","13881","9312","15093","2125",""
"2026-07-27T02:09:48.527Z","0","44","57","19147","22139","7892","5773","6766","8483","8100","2923",""
"2026-07-27T02:09:49.313Z","0","43","48","182139","25067","2099","4613","6629","3813","4279","2417",""
"2026-07-27T02:09:50.201Z","0","37","56","86859","51056","35907","2434","9619","7809","10822","2437",""
"2026-07-27T02:09:51.143Z","0","34","66","20079","31053","10537","23566","6631","6279","6584","2951",""
"2026-07-27T02:09:52.217Z","0","21","57","1224165","129139","18316","3383","9017","7850","5199","2547",""
"2026-07-27T02:09:53.195Z","0","24","61","48147","45296","6312","15307","9347","13431","7708","2404",""
"2026-07-27T02:09:54.137Z","0","24","63","11708","21711","7941","10311","2079","3337","2051","1098",""
"2026-07-27T02:09:55.247Z","0","17","44","132934","32110","683","3735","1287","1416","2465","1336",""
"2026-07-27T02:09:56.189Z","0","30","57","9575","8629","1163","11102","5605","7411","3395","2212",""
"2026-07-27T02:09:57.173Z","0","26","60","33812","43327","15852","6682","15571","6224","3765","1066",""
"2026-07-27T02:09:58.133Z","0","27","60","29005","26013","20359","3661","4911","5247","2810","1752",""
"2026-07-27T02:09:59.141Z","0","40","74","9231","5123","3080","4257","6198","2700","1947","1556",""
"2026-07-27T02:10:00.149Z","0","40","67","11865","30191","11984","2796","3806","13228","6553","1109",""
"2026-07-27T02:10:01.121Z","0","48","78","9405","13560","17630","5596","2512","8495","2857","1736",""
"2026-07-27T02:10:02.122Z","0","54","70","29482","20348","5413","6261","9500","9031","3034","942",""
"2026-07-27T02:10:03.250Z","0","48","70","51596","65241","9792","41688","20429","11703","2314","1099",""
"2026-07-27T02:10:04.144Z","0","41","88","9079","6612","19284","13542","7144","4629","1156","1250",""
"2026-07-27T02:10:05.218Z","0","44","80","23677","12893","2004","8477","7589","7812","5458","4226",""
"2026-07-27T02:10:06.239Z","0","38","90","2244","13714","14258","4568","3224","3871","3786","2658",""
"2026-07-27T02:10:07.151Z","0","29","94","96540","63898","27700","43920","9976","4671","3500","2139",""
"2026-07-27T02:10:08.105Z","0","26","83","58825","59096","25788","19241","12559","7576","1843","945",""
"2026-07-27T02:10:09.107Z","0","11","84","89876","33787","8511","15191","13458","3564","2093","684",""
"2026-07-27T02:10:10.343Z","0","3","90","45936","42012","42070","45127","9195","5476","2312","992",""
"2026-07-27T02:10:11.123Z","0","14","81","8195","20308","7730","6268","11082","5413","4006","1413",""
"2026-07-27T02:10:12.161Z","0","17","77","495900","31289","1797","10818","4082","5287","3812","1910",""
"2026-07-27T02:10:13.325Z","0","30","75","10483","11013","3517","5490","4510","5506","2063","1144",""
"2026-07-27T02:10:14.111Z","0","40","50","78656","54754","2901","4405","10211","8110","1028","1503",""
"2026-07-27T02:10:15.108Z","0","38","53","41014","27404","13179","8875","5563","6984","3567","1461",""
"2026-07-27T02:10:16.068Z","0","37","54","9353","21589","2289","10263","6385","3284","2929","900",""
"2026-07-27T02:10:17.118Z","0","29","56","41086","21353","16555","3601","6240","5815","3774","1783",""
"2026-07-27T02:10:18.102Z","0","27","70","87546","66767","26274","19041","24524","9319","3431","1049",""
"2026-07-27T02:10:19.074Z","0","27","66","9643","45310","1945","16614","6822","8666","1825","954",""
"2026-07-27T02:10:20.124Z","0","34","77","10208","11839","18544","7932","3635","7483","4916","704",""
"2026-07-27T02:10:21.126Z","0","26","66","672576","85452","14486","7818","9231","5864","3966","2642",""
"2026-07-27T02:10:22.110Z","0","35","64","30637","22290","9057","6003","8317","10929","3235","2337",""
"2026-07-27T02:10:23.412Z","0","41","67","110202","29737","19359","7294","10009","14615","3308","1362",""
"2026-07-27T02:10:24.198Z","0","41","57","21503","26467","12318","2047","7643","7387","3003","2009",""
"2026-07-27T02:10:25.116Z","0","38","64","78579","105451","36326","17816","6749","5517","7428","2610",""
"2026-07-27T02:10:26.082Z","0","27","66","10639","29963","3431","12077","5287","3675","6022","1290",""
"2026-07-27T02:10:27.138Z","0","21","64","501239","60422","19431","17121","12902","9963","4588","2472",""
"2026-07-27T02:10:28.080Z","0","7","66","145101","73810","10369","34307","22653","3080","2341","2849",""
"2026-07-27T02:10:29.004Z","0","21","63","25935","18577","6517","5398","7924","7460","3935","1291",""
"2026-07-27T02:10:30.162Z","0","17","60","74433","112871","36734","9710","28619","7167","2308","1700",""
"2026-07-27T02:10:31.050Z","0","21","64","9567","5012","13333","904","11223","2871","2788","995",""
"2026-07-27T02:10:31.998Z","0","29","64","147565","64377","22847","11468","11589","7720","4787","2229",""
"2026-07-27T02:10:32.994Z","0","29","67","14272","13372","6438","4582","5497","5192","3929","929",""
"2026-07-27T02:10:34.098Z","0","26","63","158333","22344","1200","3794","4238","805","634","434",""
"2026-07-27T02:10:34.974Z","0","26","56","15928","17760","3611","4961","3612","3945","1177","922",""
"2026-07-27T02:10:35.958Z","0","21","56","37006","97499","14010","31906","14864","6308","2067","1413",""
"2026-07-27T02:10:37.128Z","0","13","63","38310","23376","12751","22764","8496","5163","2686","1247",""
"2026-07-27T02:10:38.004Z","0","30","74","127275","39296","8320","26028","11432","18229","5158","1741",""
"2026-07-27T02:10:39.180Z","0","30","80","11846","23686","17738","10247","6716","7434","1990","990",""
"2026-07-27T02:10:39.966Z","0","35","80","60498","45185","5178","22489","16659","5482","6113","1927",""
